        56  
      T-50     21572     64.00    -22.50     17.00      0.10      0.08      0.44
      T-51     21083     64.00    -16.60     17.00      0.08      0.34      0.98
      T-52     19717     64.00     20.00     17.00      0.30      0.04      0.08
      T-53     21753     64.00     31.00     17.00      0.54      0.40      0.12
      T-54     22222     64.00    -23.60     20.00      0.10      0.42      0.52
      T-55     23196     64.00    -16.80     20.00      0.18      0.30      0.78
      T-56     11345     60.00    -10.40     20.00      0.06      0.44      0.72
      T-57     10344     60.00      0.00     20.00      0.34      0.42      0.32
      T-58     34544     68.00      0.00     20.00      0.02      0.06      0.12
      T-59     10707     60.00     13.60     20.00      0.22      0.24      0.66
      T-60     20167     64.00     23.00     20.00      0.38      0.04      0.82
      T-61     22260     64.00     32.90     20.00      0.04      0.14      0.30
      T-62     23210     64.00    -23.60     25.00      0.14      0.44      0.48
      T-63     22185     64.00    -16.00     25.00      0.18      0.24      0.84
      T-64     22750     64.00     -7.00     25.00      0.22      0.06      0.16
      T-65      6745     59.00      0.00     25.00      0.00      0.06      0.16
      T-66     36075     69.00      0.00     25.00      0.00      0.08      0.08
      T-67     22338     64.00      8.80     25.00      0.16      0.22      0.44
      T-68     21169     64.00     18.10     25.00      0.68      0.10      0.16
      T-69     20905     64.00     25.50     25.00      0.00      0.36      0.48
      T-70     20905     64.00     26.00     25.00      0.02      0.46      0.50
      T-71     22393     64.00    -23.60     34.65      0.00      0.08      0.50
      T-72     22668     64.00    -16.00     34.65      0.20      0.36      0.60
      T-73     22319     64.00     -7.00     34.65      0.40      0.26      0.32
      T-74      8500     59.00      0.00     34.65      0.12      0.00      0.82
      T-75     21941     64.00      0.00     34.65      0.04      0.02      0.54
      T-76     35332     69.00      0.00     34.65      0.24      0.62      0.16
      T-77     36055     69.00      8.80     34.65      0.00      0.16      0.48
      T-78     35309     69.00     18.10     34.65      0.04      0.38      0.52
      T-79     34833     69.00     19.60     34.65      0.00      0.20      0.50
      T-80     21622     64.00    -16.00     45.00      0.10      0.20      0.30
      T-81     23251     64.00     -7.00     45.00      0.02      0.34      0.34
      T-82      9388     59.00      0.00     45.00      0.12      0.00      0.92
      T-83     21834     59.00      0.00     45.00      0.00      0.12      0.50
      T-84     35217     69.00      0.00     45.00      0.44      0.36      0.36
      T-85     21710     64.00      5.50     45.00      0.60      0.20      0.16
      T-86     23940     64.00     10.90     45.00      0.02      0.42      0.84
      T-87     20631     64.00     12.20     45.00      0.08      0.46      0.94
      T-88     21582     64.00    -16.00     55.20      0.12      0.00      0.78
      T-89     14861     62.00     -8.00     55.20      0.44      0.00      0.40
      T-90     20966     64.00     -8.00     55.20      0.26      0.00      0.40
      T-91     29615     66.00     -8.00     55.20      0.00      0.00      0.26
      T-92     23952     64.00      0.00     55.20      0.06      0.00      0.44
      T-93     23565     64.00      5.00     55.20      0.08      0.28      0.92
      T-94     15202     62.00      6.50     55.20      0.12      0.34      0.74
      T-95     28718     66.00      6.50     55.20      0.28      0.00      0.74
      T-96     21645     64.00     10.00     55.20      0.10      0.38      0.80
      T-97     21326     64.00    -19.00     65.00      0.00      0.86      0.00
      T-98     20756     64.00     -9.50     65.00      0.14      0.46      0.18
      T-99     21395     64.00      0.00     65.00      0.18      0.80      0.08
     T-100     23286     64.00      5.00     65.00      0.12      0.60      0.22
     T-101     22171     64.00      9.30     65.00      0.14      0.30      0.78
 CTL-10-21     24412     64.75      6.84     22.40      0.20      0.44      0.34
 CTL-10-38     19051     63.05      6.10     39.80      0.22      0.38      0.46
 CTL-10-50     17548     62.92      6.13     51.80      0.12      0.96      0.04
 CTL-10-70     18744     62.75      6.89     69.50      0.44      0.60      0.14
