        59  
  M-001puh    329428     67.96    -24.42     20.00      0.34       0.5      0.18
  M-002puh     83640     67.96    -22.92     16.50      0.08      0.02      0.9
  M-003pnh     82892     68.10    -16.42     16.50       0.8      0.14      0.02
   P-087ua     25867     99.74    -15.14     18.47      0.32      0.02      0.48
   P-087uc    281001    100.67    -16.77     15.25      0.28      0.02      0.52
   P-088na    283984     99.74    -8.850     18.03      0.32      0.46      0.22
   P-088nc    419821    100.67    -4.380     10.73      0.02       0.1      0.5
   P-089na    249097     90.93    -11.14     18.41      0.42      0.54      0.2
   P-089nb    370113     89.17    -12.28     15.37      0.06      0.26      0.48
   P-090na    375810     83.57    -15.03     15.57      0.22       0.6      0.18
   P-090nc    297035     85.50    -10.66      8.13      0.04      0.02      0.02
   P-091na    307085     75.52    -15.20     15.80      0.16      0.22      0.4
   P-091nb    295026     76.52    -13.10     12.16      0.38      0.02      0.6
   P-092ua    319109     67.93    -22.66     15.81      0.04      0.02      0.52
   P-092uc    385664     68.98    -27.02      8.26      0.78      0.26      0.06
   P-093na    385323     66.89    -15.26     15.90      0.62      0.62      0.06
   P-093nc    385678     68.93    -10.74      8.06      0.04      0.22      0.38
   P-094ua    317194     59.00    -22.65     15.80      0.02      0.02      0.42
   P-094ub    383909     60.95    -24.71     12.25      0.34      0.02      0.26
   P-095na    319533     60.95    -16.63     15.86      0.26      0.02      0.9
   P-095nb    316800     61.00    -13.25     12.37      0.12       0.4      0.5
   P-096na    425347     51.83    -15.12     15.57      0.06       0.8      0.18
   P-096nc    337575     54.66    -10.86      8.19      0.2       0.02      0.76
   P-097na    388525     43.54    -15.31     15.95      0.02      0.02      0.16
   P-097nb    388542     44.55    -13.18     12.30      0.02      0.72      0.1
   P-098na    406426     35.36    -15.22     15.89      0.14      0.34      0.76
   P-098nc    427961     36.45    -10.87      8.34      0.68      0.04      0.12
   P-099na    407522     27.28    -15.19     15.72      0.26      0.68      0.1
   P-099nb    262810     28.31    -13.16     12.24      0.26      0.74      0.08
   P-100na    265193     21.97    -14.47     14.33      0.08      0.26      0.92
   P-100nc    364048     23.04    -10.11      6.85       0.2      0.38      0.24
   P-101ua    263900     14.65    -25.89     16.02      0.32      0.36      0.24
   P-101ub    263903     15.75    -27.82     12.53      0.32      0.24      0.48
   P-102na    264996     13.27    -17.21     13.93       0.1      0.64      0.28
   P-102nb    263989     14.37    -15.21     10.44      0.32      0.46      0.2
   P-103ua    269496      5.29    -25.87     15.98      0.02       0.4      0.5
   P-103uc    270547      6.29    -30.33      8.22      0.32       0.6      0.12
   P-104na    270015      4.52    -17.35     14.24       0.1      0.56      0.12
   P-104nc    262537      5.67    -13.02      6.64      0.02      0.16      0.5
 PiM-10-3a     73160     60.01     13.47     19.50      0.04       0.3      0.9
 PiM-10-8a     69934     60.00     54.15     19.88      0.04       0.4      0.26
  Pk-090na    297325     82.50    -14.97     15.56      0.02      0.78      0.14
  Pk-090nc    296940     84.60    -11.52      9.41      0.04      0.06      0.08
  Pk-090ua    376243     82.50    -22.80     15.56      0.02      0.16      0.5
  Pk-090uc    377506     85.50    -26.38      9.41      0.08      0.24      0.98
  Pk-096na    427337     50.50    -14.94     15.48      0.16      0.32      0.86
  Pk-096nb    331618     53.50    -13.31     12.71      0.04      0.38      0.24
  Pk-096ua    350368     50.50    -22.77     15.56      0.44      0.02      0.12
  Pk-096ub    387975     53.50    -24.26     12.97      0.24       0.5      0.42
     Pi-52     83626     60.00    -22.30     16.50       0.1      0.34      0.9
     Pi-53    314907     60.00    -16.42     16.50      0.16      0.02      0.02
     Pi-54    317119     60.00      1.70     19.50      0.02       0.3      0.5
     Pi-55    382838     60.00     31.65     16.50      0.54       0.4      0.02
   PiT10-1    382177     60.00     -8.92     19.00      0.08      0.38      0.24
   PiT10-2    384495     60.00     -0.32     19.00      0.02      0.02      0.5
   PiT10-4    382216     60.00     19.70     16.00       0.1      0.36      0.16
   PiT10-5    384546     60.00     31.25     16.00      0.12      0.34      0.76
   PiT10-6    382507     60.00     37.69     19.00      0.02      0.08      0.28
   PiT10-7    318466     60.00     46.27     19.00      0.28      0.02      0.24
   
